Name,SMILES,BSEP ACTIVITY,,,,,,,
50739565,CN(C(CCSC(c1cc(\C=C\c2nc(c3cc2)cc(Cl)cc3)ccc1)SCCC(=O)O)=O)C,1,,,,,,,
51098607,COc1nccc(c2cc(F)c([C@H]3Oc(c4CC3)cc([C@H](C5CC5)[C@@H](C(=O)O)C)cc4)cc2)c1,1,,,,,,,
50739346,CC[C@@H]1[C@](C)([C@H]2[C@@H](C)C(=O)[C@H](C)C[C@](OC)(C)[C@H](O[C@H]3[C@H](O)[C@@H](N(C)C)C[C@@H](C)O3)[C@@H](C)C(=O)[C@@H](C)C(=O)O1)OC(=O)N2CCCCn4cc(c5cnccc5)nc4,1,,,,,,,
50774792,OCCN(c1nc(c2c(N3CCCCC3)n1)c(N4CCCCC4)nc(N(CCO)CCO)n2)CCO,1,,,,,,,
50501849,COc1c(c2cc([C@H](c3cc(CN4S(=O)(=O)c(c5O[C@H](C)C4)cccc5)c(C)cc3)CC(=O)O)c1)n(C)nn2,1,,,,,,,
50375468,CC[C@@H]1[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@](O)(C)[C@H](O[C@H]2[C@H](OC(CC)=O)[C@@H](N(C)C)C[C@@H](C)O2)[C@@H](C)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@](OC)(C)C3)[C@@H](C)C(=O)O1,1,,,,,,,
50375447,CCC(N(CCOc1ccccc1)C(=O)N2CCCN3CCN(c4cc(Cl)ccc4)CC3)=N2,1,,,,,,,
50777132,CCCc1n(Cc2ccc(c3c(c4[nH]nnn4)cccc3)cc2)c(C(OCC5=C(C)OC(=O)O5)=O)c(C(O)(C)C)n1,1,,,,,,,
50375454,CO[C@H]([C@@H](C)[C@@H](OC(=O)C)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)\C=C\C=C(\C)/C(=O)Nc(c(c1c2c(C(=O)[C@]34C)c(c(C)c1O)O3)O)cc2O)\C=C\O4,1,,,,,,,
50774810,CS(CCNCc1oc(c2cc(c3cc2)c(Nc4cc(Cl)c(OCc5cc(F)ccc5)cc4)ncn3)cc1)(=O)=O,1,,,,,,,
51259435,CN(C(C=C)=O)CCOc1c(c2c(C)c(NC(c3c(F)cc(C4CC4)cc3)=O)cc(F)c2)ncnc1N,1,,,,,,,
50497642,COCCOCc1cc(c2nc(c3cc2)ccc(c34)sc(c45)C(=O)N[C@H](C)CN5)ccc1,1,,,,,,,
50497637,C[C@H]1NC(=O)c2c(c(c3s2)c(c4cc3)ccc(c5cnc(C)cc5)n4)NC1,1,,,,,,,
50775625,CO[C@H]1[C@H](O)CC[C@@H](\C=C(\[C@@H]2[C@H](C)[C@@H](O)CC(=O)[C@H](CC=C)\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]3O[C@@]([C@H](C)C[C@@H]3OC)(O)C(=O)C(=O)N([C@@H]4C(=O)O2)CCCC4)/C)C1,1,,,,,,,
51026635,CC(C1C(=O)OC(C(C)C)C(=O)NC(C(C)C)C(=O)OC(C)C(=O)NC(C(C)C)C(=O)OC(C(C)C)C(=O)NC(C(C)C)C(=O)OC(C)C(=O)NC(C(C)C)C(=O)OC(C(C)C)C(=O)NC(C(C)C)C(=O)OC(C)C(=O)N1)C,1,,,,,,,
51350492,CCCCC(N(Cc1ccc(c2c(c3[nH]nnn3)cccc2)cc1)C(=O)C45CCCC4)=N5,1,,,,,,,
50777242,CN1S(=O)(=O)c(c2C(O)=C1C(Nc3ncccc3)=O)cc(Cl)s2,1,,,,,,,
50775642,COC(C(C(c1cc([N+](=O)[O-])ccc1)C(C(OCCN(Cc2ccccc2)C)=O)=C(C)N3)=C3C)=O,1,,,,,,,
50775218,CN1C(=O)N(c2ccc(C(C#N)(C)C)cc2)c(c13)c(c4nc3)cc(c5cc(c6nc5)cccc6)cc4,1,,,,,,,
50739636,CNC(c1nccc(Oc2ccc(NC(Nc3cc(C(F)(F)F)c(Cl)cc3)=O)cc2)c1)=O,1,,,,,,,
50775220,COc1c(OC)cc(c2c1)[C@@H]([C@H]3CO2)C(=O)c(c4O3)ccc(c45)O[C@@H](C(=C)C)C5,1,,,,,,,
50774824,CC[C@H](N1C(=O)N(c2ccc(N3CCN(c4ccc(OC[C@H]5C[C@@](c6c(F)cc(F)cc6)(Cn7ncnc7)OC5)cc4)CC3)cc2)C=N1)[C@@H](O)C,1,,,,,,,
